年,月,ドル建価格最高,ドル建価格最低,ドル建価格平均,為替T.T.S.,平均小売価格最高,小売価格最低,小売価格平均
2015,08,1166.50,1085.00,1117.50,124.22,4617,4368,4467
2015,07,1171.70,1080.05,1130.81,124.25,4674,4384,4539
2015,06,1203.40,1164.60,1181.88,124.77,4803,4684,4750
2015,05,1228.15,1175.95,1198.37,121.76,4765,4593,4694
2015,04,1211.10,1180.25,1198.08,120.58,4715,4556,4658
2015,03,1216.75,1147.25,1179.63,121.38,4726,4539,4618
2015,02,1281.00,1192.50,1229.14,119.59,4865,4648,4735
2015,01,1298.00,1172.00,1250.59,119.34,4985,4623,4803
2014,12,1229.00,1175.75,1201.37,120.42,4745,4437,4628
2014,11,1203.75,1142.00,1176.36,117.23,4581,4257,4426
2014,10,1251.75,1164.25,1223.03,109.00,4331,4226,4289
2014,09,1287.25,1210.00,1240.07,108.08,4358,4292,4319
2014,08,1317.50,1275.25,1296.50,103.97,4367,4280,4329
2014,07,1343.25,1285.25,1311.98,102.73,4393,4270,4332
2014,06,1323.00,1242.75,1278.48,103.08,4354,4143,4239
2014,05,1311.00,1250.50,1288.22,102.83,4319,4168,4263
2014,04,1325.75,1283.50,1299.09,103.58,4377,4273,4322
2014,03,1385.00,1291.75,1336.32,103.27,4563,4302,4446
2014,02,1340.00,1246.50,1299.84,103.15,4432,4142,4306
2014,01,1270.00,1219.75,1243.93,104.93,4252,4158,4204
2013,12,1266.25,1192.75,1223.50,104.38,4208,4052,4122
2013,11,1320.50,1231.75,1276.62,101.03,4231,4070,4149
2013,10,1361.00,1255.50,1315.29,98.87,4284,4071,4188
2013,09,1403.75,1299.75,1351.55,100.23,4555,4177,4368
2013,08,1425.50,1275.50,1346.07,98.86,4488,4039,4283
2013,07,1340.00,1212.75,1285.65,100.78,4339,4000,4167
2013,06,1410.00,1192.00,1342.53,98.45,4571,3852,4276
2013,05,1476.50,1353.75,1414.82,102.10,4751,4508,4635
2013,04,1597.75,1378.00,1485.49,98.73,5084,4259,4723
2013,03,1613.75,1570.00,1592.31,95.81,4977,4732,4880
2013,02,1678.00,1576.50,1635.42,94.23,5072,4739,4910
2013,01,1693.75,1632.25,1671.42,90.24,4942,4672,4828
2012,12,1720.00,1648.25,1688.58,84.65,4657,4482,4567
2012,11,1750.50,1679.00,1722.38,81.90,4677,4382,4513
2012,10,1791.75,1704.00,1746.68,79.99,4556,4417,4464
2012,09,1784.50,1686.00,1743.19,79.18,4506,4281,4403
2012,08,1668.00,1594.75,1625.86,79.69,4273,4039,4159
2012,07,1622.75,1556.25,1593.35,80.04,4195,4017,4089
2012,06,1635.00,1552.50,1596.16,80.31,4192,3975,4119
2012,05,1664.00,1537.50,1580.00,80.76,4327,4010,4116
2012,04,1677.50,1621.00,1649.30,82.56,4502,4308,4365
2012,03,1721.00,1635.50,1674.41,83.47,4559,4384,4489
2012,02,1788.00,1711.50,1742.86,79.40,4664,4274,4434
2012,01,1744.00,1590.00,1656.11,77.99,4325,4014,4155
2011,12,1752.00,1531.00,1652.52,78.88,4431,3990,4195
2011,11,1795.00,1676.00,1737.48,78.61,4537,4192,4379
2011,10,1741.00,1600.00,1666.55,77.66,4385,4025,4156
2011,09,1896.50,1598.00,1776.25,77.88,4721,3964,4434
2011,08,1886.50,1613.50,1757.65,78.20,4745,4053,4388
2011,07,1628.50,1483.00,1570.67,80.52,4103,3916,4037
2011,06,1552.50,1498.00,1528.52,81.57,4050,3930,3994
2011,05,1546.50,1478.50,1511.31,82.24,4082,3895,3980
2011,04,1535.50,1418.00,1474.12,84.44,4065,3872,3989
2011,03,1447.00,1398.50,1423.43,82.83,3832,3590,3771
2011,02,1414.50,1328.00,1372.02,83.55,3792,3538,3673
2011,01,1405.50,1316.00,1358.44,83.67,3733,3544,3649
2010,12,1426.00,1363.00,1392.03,84.46,3807,3704,3764
2010,11,1421.00,1336.50,1370.84,83.54,3731,3537,3665
2010,10,1380.75,1313.00,1342.61,82.93,3645,3494,3566
2010,09,1311.00,1240.50,1271.22,85.37,3566,3390,3473
2010,08,1246.00,1178.00,1214.64,86.51,3442,3311,3372
2010,07,1240.00,1157.00,1194.48,88.75,3560,3288,3414
2010,06,1261.00,1203.50,1232.65,91.93,3694,3569,3635
2010,05,1241.25,1165.00,1204.88,92.70,3741,3439,3594
2010,04,1179.25,1116.00,1148.58,94.42,3562,3377,3470
2010,03,1136.50,1090.75,1114.45,91.54,3330,3229,3274
2010,02,1119.75,1052.25,1095.61,91.37,3358,3096,3220
2010,01,1158.00,1078.50,1118.77,92.23,3436,3163,3314
2009,12,1218.25,1080.50,1134.86,90.57,3475,3214,3304
2009,11,1183.00,1052.00,1126.58,90.22,3367,3047,3256
2009,10,1066.00,998.00,1043.33,91.36,3151,2905,3055
2009,09,1020.50,949.75,996.52,92.55,3009,2872,2952
2009,08,964.50,932.75,949.44,95.91,3004,2869,2929
2009,07,956.00,908.50,934.25,95.52,2951,2765,2873
2009,06,987.00,919.25,946.74,97.57,3071,2863,2977
2009,05,975.50,881.50,927.75,97.30,3011,2853,2913
2009,04,924.50,870.00,891.43,100.12,2959,2803,2874
2009,03,957.00,893.25,925.13,99.00,3000,2869,2945
2009,02,989.75,895.00,941.46,93.45,3031,2620,2832
2009,01,919.50,810.00,858.21,91.43,2642,2377,2531
2008,12,881.00,749.00,818.02,92.60,2528,2314,2433
2008,11,822.50,713.50,759.36,97.86,2576,2240,2398
2008,10,918.00,692.50,809.72,101.58,3040,2268,2665
2008,09,905.00,740.75,827.43,107.83,3067,2627,2859
2008,08,912.50,784.75,839.71,110.34,3185,2838,2983
2008,07,986.00,897.50,940.47,107.84,3339,3181,3250
2008,06,932.75,862.25,889.51,107.93,3193,2998,3079
2008,05,928.25,853.00,888.89,105.21,3115,2887,3018
2008,04,951.50,867.75,910.65,103.52,3124,2924,3035
2008,03,1023.50,913.50,969.75,101.95,3311,2972,3157
2008,02,971.50,887.50,923.29,108.24,3303,3063,3203
2008,01,927.50,840.75,888.69,108.59,3210,2946,3104
2007,12,836.50,783.75,803.41,113.42,3050,2831,2926
2007,11,841.75,778.85,807.28,112.34,3070,2776,2915
2007,10,792.50,725.50,754.54,116.80,2920,2749,2832
2007,09,743.00,672.00,711.65,116.06,2749,2530,2645
2007,08,675.50,653.00,664.97,117.88,2616,2394,2529
2007,07,684.30,647.75,665.28,122.67,2687,2555,2627
2007,06,671.50,642.10,655.60,123.65,2652,2562,2612
2007,05,688.80,652.65,667.58,121.82,2680,2582,2618
2007,04,691.40,658.25,679.69,119.89,2671,2537,2616
2007,03,673.60,636.75,655.39,118.35,2607,2423,2505
2007,02,685.75,645.70,664.92,121.55,2685,2528,2598
2007,01,651.75,608.30,630.76,121.69,2555,2371,2473
2006,12,648.75,614.00,629.65,118.34,2434,2364,2396
2006,11,646.70,611.25,627.33,118.41,2426,2309,2393
2006,10,608.50,560.75,586.21,119.71,2314,2186,2272
2006,09,637.75,573.60,599.17,118.12,2415,2208,2294
2006,08,654.40,613.40,632.08,116.92,2432,2313,2374
2006,07,671.50,605.70,633.40,116.75,2482,2300,2374
2006,06,644.50,567.00,597.02,115.62,2350,2085,2225
2006,05,725.75,642.25,676.08,112.70,2562,2356,2444
2006,04,644.50,583.85,611.25,118.19,2419,2233,2316
2006,03,584.00,535.00,557.15,118.39,2239,2084,2128
2006,02,572.15,538.75,555.26,118.97,2207,2072,2136
2006,01,569.80,520.75,549.65,116.49,2178,1986,2075
2005,12,537.50,489.00,509.76,119.70,2088,1878,1967
2005,11,497.30,456.50,476.67,119.44,1946,1771,1847
2005,10,478.50,462.85,470.00,115.91,1794,1739,1771
2005,09,473.40,435.50,455.99,112.08,1749,1594,1659
2005,08,447.25,430.65,437.85,111.79,1615,1587,1598
2005,07,434.20,418.35,424.61,112.96,1584,1555,1569
2005,06,442.95,415.35,430.48,109.68,1587,1499,1546
2005,05,430.50,414.45,422.39,107.93,1515,1491,1500
2005,04,437.00,423.45,429.19,108.46,1538,1514,1528
2005,03,443.70,424.90,434.34,106.33,1534,1496,1515
2005,02,436.55,411.10,423.39,105.93,1515,1436,1476
2005,01,427.75,420.00,424.06,104.28,1477,1433,1456
2004,12,455.75,433.90,442.53,104.83,1547,1516,1531
2004,11,453.40,422.20,439.22,105.93,1548,1507,1529
2004,10,429.15,411.25,420.34,110.06,1542,1497,1521
2004,09,415.65,396.30,405.34,111.07,1524,1452,1483
2004,08,410.60,390.60,400.32,111.40,1492,1444,1470
2004,07,408.55,386.20,398.27,110.40,1469,1424,1448
2004,06,404.25,382.30,392.08,110.39,1450,1408,1429
2004,05,394.30,373.50,383.87,113.45,1457,1417,1435
2004,04,427.25,382.75,404.06,108.32,1490,1420,1456
2004,03,423.70,390.35,406.32,109.75,1488,1439,1468
2004,02,416.00,392.25,404.80,107.61,1462,1403,1435
2004,01,428.20,399.75,414.14,107.42,1500,1416,1464
2003,12,417.25,398.75,407.31,108.99,1472,1441,1458
2003,11,398.35,377.90,390.06,110.23,1436,1389,1417
2003,10,391.00,370.25,379.01,110.62,1426,1354,1387
2003,09,391.85,370.00,378.90,116.23,1465,1417,1442
2003,08,375.60,347.50,359.38,119.83,1442,1388,1417
2003,07,365.60,342.50,350.89,119.73,1433,1356,1387
2003,06,367.35,343.50,356.63,119.33,1435,1367,1403
2003,05,372.35,338.95,355.54,118.31,1443,1332,1387
2003,04,336.75,319.75,328.19,120.84,1343,1296,1318
2003,03,356.60,329.45,341.06,119.66,1395,1323,1355
2003,02,385.00,344.10,359.27,120.43,1510,1355,1419
2003,01,370.80,342.20,356.86,119.71,1457,1384,1415
2002,12,349.30,316.45,332.61,123.22,1402,1308,1355
2002,11,324.00,317.20,319.16,122.57,1316,1279,1296
2002,10,322.70,310.75,316.64,124.95,1335,1297,1311
2002,09,326.30,312.00,318.97,121.58,1340,1232,1284
2002,08,316.70,300.64,310.14,120.08,1262,1218,1238
2002,07,324.00,303.00,313.43,119.05,1266,1209,1242
2002,06,326.55,316.80,321.36,124.53,1354,1275,1328
2002,05,327.25,307.50,314.49,127.44,1349,1307,1326
2002,04,310.64,297.75,290.62,132.15,1349,1297,1319
2002,03,303.00,289.14,294.20,132.24,1343,1235,1294
2002,02,305.10,282.00,295.58,134.48,1361,1273,1319
2002,01,287.95,277.75,281.64,133.90,1277,1216,1255
2001,12,278.89,272.20,275.92,128.16,1229,1140,1177
2001,11,280.60,272.55,276.20,123.31,1147,1122,1136
2001,10,292.85,274.89,283.19,122.35,1177,1131,1153
2001,09,293.25,271.30,282.95,119.88,1165,1094,1128
2001,08,277.75,266.39,272.52,122.68,1136,1103,1116
2001,07,271.55,265.10,267.62,125.60,1125,1108,1117
2001,06,276.00,265.39,270.49,123.20,1138,1063,1105
2001,05,291.25,263.80,272.20,122.98,1188,1075,1111
2001,04,264.60,255.95,260.62,124.94,1092,1068,1078
2001,03,272.50,257.70,263.14,122.07,1088,1040,1065
2001,02,268.30,256.25,261.95,117.17,1047,1000,1026
2001,01,272.80,262.85,265.71,118.18,1063,1036,1049
2000,12,275.10,269.20,271.67,113.22,1058,1007,1026
2000,11,269.95,264.10,266.00,109.95,1005,961,979
2000,10,275.85,263.80,270.20,109.39,1007,970,990
2000,09,277.20,269.50,273.68,107.81,1005,973,988
2000,08,277.60,272.00,274.50,109.21,1024,981,1003
2000,07,288.05,276.75,281.87,108.94,1033,1016,1026
2000,06,293.00,272.50,285.55,107.33,1048,991,1022
2000,05,280.75,270.45,275.24,109.20,1025,982,1003
2000,04,283.50,275.05,279.83,106.54,1015,989,1000
2000,03,293.75,275.75,286.55,107.75,1073,988,1030
2000,02,316.60,283.00,300.36,110.42,1140,1024,1093
2000,01,288.75,279.39,284.45,106.23,1027,982,1013
1999,12,291.39,276.10,283.41,103.77,1002,965,986
1999,11,298.50,288.25,293.42,105.95,1053,1006,1039
1999,10,326.25,290.39,311.14,106.97,1183,1009,1103
1999,09,317.25,254.05,264.61,108.59,1095,917,962
1999,08,261.50,252.85,256.82,114.50,1020,955,989
1999,07,263.10,252.80,256.14,120.94,1081,999,1040
1999,06,267.15,258.15,261.36,121.98,1105,1042,1068
1999,05,288.10,268.25,276.69,123.18,1167,1098,1132
1999,04,286.60,278.35,282.62,120.88,1145,1120,1135
1999,03,294.00,279.45,286.10,120.80,1190,1122,1151
1999,02,290.05,285.30,287.41,117.69,1174,1095,1128
1999,01,291.39,282.30,287.20,114.16,1113,1078,1097
1998,12,295.55,285.80,291.52,118.61,1206,1118,1158
1998,11,297.85,288.60,294.18,121.55,1223,1128,1190
1998,10,302.35,291.20,296.27,122.49,1356,1148,1211
1998,09,298.10,277.70,288.82,135.70,1348,1260,1299
1998,08,288.85,273.39,284.17,145.55,1395,1295,1368
1998,07,297.10,288.85,292.87,141.69,1379,1361,1370
1998,06,297.75,285.85,292.27,141.58,1389,1338,1365
1998,05,306.89,292.39,299.04,135.99,1367,1329,1346
1998,04,314.60,299.30,308.43,132.76,1378,1328,1351
1998,03,302.75,289.10,295.91,129.69,1322,1253,1274
1998,02,302.00,291.39,297.62,127.06,1286,1238,1257
1998,01,304.85,278.50,289.18,130.52,1285,1234,1254
1997,12,296.10,283.00,288.76,130.69,1296,1228,1255
1997,11,315.35,296.00,306.19,126.34,1301,1258,1283
1997,10,337.15,310.39,324.86,122.14,1357,1249,1314
1997,09,332.10,319.95,322.72,121.92,1323,1280,1301
1997,08,328.60,318.85,324.01,118.96,1290,1262,1277
1997,07,333.70,315.75,323.94,116.23,1288,1202,1248
1997,06,344.25,334.05,340.78,115.33,1339,1282,1304
1997,05,349.10,339.25,343.97,120.15,1444,1304,1366
1997,04,351.05,338.95,344.59,126.56,1467,1422,1440
1997,03,362.15,346.05,352.06,123.69,1460,1418,1439
1997,02,360.60,336.90,346.49,124.07,1449,1392,1420
1997,01,367.80,345.00,355.07,119.08,1426,1373,1394
1996,12,373.00,367.40,369.17,114.87,1413,1387,1398
1996,11,383.60,371.30,377.86,113.29,1435,1396,1413
1996,10,383.95,377.05,380.99,113.42,1463,1404,1425
1996,09,387.20,379.00,383.22,110.78,1407,1394,1402
1996,08,389.75,386.20,387.43,108.81,1401,1373,1391
1996,07,385.50,380.60,383.47,110.39,1412,1377,1397
1996,06,390.80,381.30,385.26,109.93,1410,1382,1398
1996,05,394.80,390.55,391.96,107.53,1419,1369,1390
1996,04,397.60,389.90,392.86,108.54,1430,1366,1408
1996,03,400.35,392.90,396.36,106.91,1419,1381,1399
1996,02,416.25,396.80,404.84,106.72,1471,1385,1425
1996,01,407.40,387.10,399.08,106.88,1453,1379,1410
1995,12,389.70,385.70,387.44,102.90,1329,1306,1316
1995,11,389.60,381.95,385.26,103.01,1327,1290,1311
1995,10,385.10,381.75,383.17,101.74,1300,1274,1288
1995,09,385.65,379.00,382.99,101.45,1343,1238,1284
1995,08,386.35,381.65,383.58,95.61,1264,1135,1214
1995,07,390.45,383.00,386.19,88.20,1159,1094,1130
1995,06,391.30,383.20,387.59,85.54,1113,1085,1101
1995,05,391.35,381.55,385.23,86.16,1125,1070,1101
1995,04,396.95,386.35,391.19,84.61,1143,1071,1101
1995,03,392.00,374.45,381.97,91.87,1216,1133,1164
1995,02,379.60,374.50,376.70,99.33,1252,1223,1239
1995,01,385.10,372.40,378.65,100.77,1280,1243,1263
1994,12,383.25,375.75,379.39,101.20,1282,1258,1270
1994,11,386.75,382.70,384.38,99.00,1275,1242,1259
1994,10,394.10,383.85,389.97,99.45,1310,1260,1283
1994,09,397.50,386.00,391.46,99.85,1300,1282,1291
1994,08,386.60,376.30,380.28,100.87,1291,1249,1270
